plant_id,filename,area_pixels,width,height,color_freq_1_hex,color_freq_1_pct,color_freq_2_hex,color_freq_2_pct,color_freq_3_hex,color_freq_3_pct,color_freq_4_hex,color_freq_4_pct,color_freq_5_hex,color_freq_5_pct,color_perceptual_1_hex,color_perceptual_1_pct,color_perceptual_2_hex,color_perceptual_2_pct,color_perceptual_3_hex,color_perceptual_3_pct,color_perceptual_4_hex,color_perceptual_4_pct,color_perceptual_5_hex,color_perceptual_5_pct,color_saliency_1_hex,color_saliency_1_pct,color_saliency_2_hex,color_saliency_2_pct,color_saliency_3_hex,color_saliency_3_pct,color_saliency_4_hex,color_saliency_4_pct,color_saliency_5_hex,color_saliency_5_pct,color_botanical_1_hex,color_botanical_1_pct,color_botanical_2_hex,color_botanical_2_pct,color_botanical_3_hex,color_botanical_3_pct,color_botanical_4_hex,color_botanical_4_pct,color_botanical_5_hex,color_botanical_5_pct,color_chroma_1_hex,color_chroma_1_pct,color_chroma_2_hex,color_chroma_2_pct,color_chroma_3_hex,color_chroma_3_pct,color_chroma_4_hex,color_chroma_4_pct,color_chroma_5_hex,color_chroma_5_pct,color_visual_1_hex,color_visual_1_pct,color_visual_2_hex,color_visual_2_pct,color_visual_3_hex,color_visual_3_pct,color_visual_4_hex,color_visual_4_pct,color_visual_5_hex,color_visual_5_pct,family,genus,species
KW_T_423_1_0040R,KW_T_423_1_0040R.tif_segmented.png,619422,2878,3683,#cdc5a4,5.59,#9c9270,4.76,#918566,3.91,#c1c38b,3.79,#aea789,3.68,#c1c38b,3.79,#cdc5a4,5.59,#b6b781,3.17,#c6ba98,3.07,#aaaa78,2.09,#bdb79f,3.02,#cdc5a4,5.59,#c6ba98,3.07,#756d54,3.03,#87785c,3.17,#c1c38b,3.79,#b6b781,3.17,#7f7e62,3.66,#aaaa78,2.09,#756d54,3.03,#c4c78c,2.18,#bdbf8c,1.88,#b9bc83,2.31,#d5d1ad,1.53,#908e68,1.74,#bdb79f,3.02,#cdc5a4,5.59,#c6ba98,3.07,#756d54,3.03,#87785c,3.17,,Hippuris,Hippuris vulgaris
KW_T_423_1_0042R,KW_T_423_1_0042R.tif_segmented.png,1441366,2954,3679,#9c9c7c,7.04,#8f8d74,6.25,#a8aa86,6.17,#828169,5.65,#777762,5.5,#d8cf6d,0.28,#d8cf9c,0.77,#b2b68f,4.82,#bfbe97,2.43,#a8aa86,6.17,#bfb2a4,3.31,#646554,4.96,#58594b,2.69,#6e6e5c,5.41,#777762,5.5,#d8cf6d,0.28,#d8cf9c,0.77,#b2b68f,4.82,#a8aa86,6.17,#bfbe97,2.43,#ded771,0.26,#c5b360,0.07,#ddd79a,0.54,#c5be89,0.39,#b7bb94,2.19,#bfb2a4,3.31,#646554,4.96,#58594b,2.69,#6e6e5c,5.41,#777762,5.5,,Hottonia,Hottonia palustris
KW_T_423_1_0044R,KW_T_423_1_0044R.tif_segmented.png,1336411,2954,3675,#686b56,12.05,#5f634e,8.49,#72745d,8.39,#9e9e7a,6.92,#939371,6.41,#c9bc7a,0.87,#d0c791,1.2,#c1a397,2.33,#c7b4a4,2.99,#686b56,12.05,#c7b4a4,2.99,#b5b594,2.86,#d0c791,1.2,#aaaa86,4.66,#c1a397,2.33,#c9bc7a,0.87,#d0c791,1.2,#aaaa86,4.66,#9e9e7a,6.92,#939371,6.41,#d5ce84,0.78,#b8a76b,0.39,#c4b67f,0.7,#dbd4a4,1.53,#959671,4.26,#c7b4a4,2.99,#b5b594,2.86,#d0c791,1.2,#aaaa86,4.66,#c1a397,2.33,,Convolvulus,Convolvulus arvensis
KW_T_423_1_0046R,KW_T_423_1_0046R.tif_segmented.png,728115,2964,3683,#71745c,6.17,#7c7d63,5.66,#9fa07d,5.63,#8f8f71,5.39,#87876b,5.39,#b6b684,4.55,#c5c1a5,4.93,#aba87a,5.15,#5d533f,1.25,#b8b798,4.95,#c5c1a5,4.93,#b8b798,4.95,#a9a98d,4.98,#aba87a,5.15,#b6b684,4.55,#b6b684,4.55,#9b966c,3.89,#9fa07d,5.63,#aba87a,5.15,#7c7d63,5.66,#ceca8a,0.52,#b9bb86,2.5,#a7a685,2.15,#b2af89,2.49,#9c956c,2.13,#c5c1a5,4.93,#b8b798,4.95,#a9a98d,4.98,#aba87a,5.15,#b6b684,4.55,,Galanthus,Galanthus nivalis
KW_T_423_1_0048R,KW_T_423_1_0048R.tif_segmented.png,705683,2968,3671,#acae88,9.29,#b8b991,8.13,#a19f7d,5.95,#7a7861,5.87,#85846b,4.98,#9a3e38,1.32,#a14d42,2.05,#b86559,2.55,#bd6e62,1.92,#ab5b4e,1.77,#c4bea5,3.11,#b8b991,8.13,#acae88,9.29,#a19f7d,5.95,#958f72,4.46,#9a3e38,1.32,#a14d42,2.05,#b86559,2.55,#bd6e62,1.92,#ab5b4e,1.77,#9a3d38,1.28,#a54e42,1.82,#b15d51,1.81,#b9675b,2.61,#be7164,1.39,#c4bea5,3.11,#b8b991,8.13,#acae88,9.29,#a19f7d,5.95,#958f72,4.46,,Papaver,Papaver argemone
KW_T_423_1_0050R,KW_T_423_1_0050R.tif_segmented.png,1220355,2974,3671,#6d6e59,8.23,#a7a989,7.48,#757763,7.18,#818069,7.0,#a0a081,6.97,#b2b491,6.21,#bc9e92,1.23,#c2b7a4,3.48,#a7a989,7.48,#a0a081,6.97,#939ba2,1.51,#c2b7a4,3.48,#bc9e92,1.23,#747b85,2.21,#5d6570,2.52,#a7a989,7.48,#9c996e,2.27,#a0a081,6.97,#818069,7.0,#b2b491,6.21,#b8bb83,0.96,#a2a584,4.29,#a9ac8c,3.74,#aead7f,0.99,#9c9d7e,3.02,#939ba2,1.51,#c2b7a4,3.48,#bc9e92,1.23,#747b85,2.21,#5d6570,2.52,,Ajuga,Ajuga reptans
KW_T_423_1_0052R,KW_T_423_1_0052R.tif_segmented.png,486596,2976,3659,#6a6b55,10.42,#7f7c61,9.37,#75745b,8.68,#888669,8.01,#60624d,7.92,#c9bc85,1.21,#b6a76c,1.05,#b5b784,2.75,#a18a5c,0.83,#6a6b55,10.42,#c2bea5,3.19,#b0ab96,3.55,#b5b784,2.75,#c9bc85,1.21,#a6a583,3.23,#c9bc85,1.21,#b6a76c,1.05,#7f7c61,9.37,#a6a583,3.23,#b5b784,2.75,#c2b178,0.55,#cbbc83,0.8,#b7a26a,0.56,#a89260,0.59,#b6b985,1.79,#c2bea5,3.19,#b0ab96,3.55,#b5b784,2.75,#c9bc85,1.21,#a6a583,3.23,Papaveraceae,Corydalis,Corydalis solida
KW_T_423_1_0054R,KW_T_423_1_0054R.tif_segmented.png,139545,2982,3651,#5e6052,6.67,#6b6b59,6.16,#84836d,6.07,#a09a81,5.86,#949079,5.67,#dcd781,1.68,#c4c17a,2.04,#aea56d,2.3,#b2b07f,3.27,#c4bfa6,4.29,#dcd781,1.68,#c4bfa6,4.29,#c4c17a,2.04,#b2b07f,3.27,#b6b496,5.34,#dcd781,1.68,#c4c17a,2.04,#aea56d,2.3,#b2b07f,3.27,#a5a58a,5.01,#dbd780,1.55,#c7c37a,1.41,#b9b371,1.29,#bbbb89,1.29,#aaa46f,1.33,#dcd781,1.68,#c4bfa6,4.29,#c4c17a,2.04,#b2b07f,3.27,#b6b496,5.34,,Ornithopus,Ornithopus perpusillus
KW_T_423_1_0056R,KW_T_423_1_0056R.tif_segmented.png,562932,2990,3667,#737359,9.49,#696a52,8.74,#7f7f61,8.19,#5b5d49,7.78,#61634f,7.4,#dad579,0.3,#b29c53,0.7,#977f42,1.05,#bcbe81,1.47,#adaf81,1.73,#bbb5a1,3.19,#bcbe81,1.47,#aba591,2.57,#dad579,0.3,#adaf81,1.73,#dad579,0.3,#b29c53,0.7,#977f42,1.05,#bcbe81,1.47,#4c4c3f,3.35,#ddd97d,0.29,#c6b664,0.34,#b19d55,0.48,#a0894a,0.61,#91793e,0.48,#bbb5a1,3.19,#bcbe81,1.47,#aba591,2.57,#dad579,0.3,#adaf81,1.73,,Bellis,Bellis perennis
KW_T_423_1_0058R,KW_T_423_1_0058R.tif_segmented.png,1637744,2988,3663,#7c7a5a,9.24,#727153,8.02,#87845e,7.21,#908d67,6.83,#a4a670,6.77,#a4a670,6.77,#6c4a42,1.01,#b3b595,5.79,#aaab85,6.1,#7c7a5a,9.24,#b9a69a,2.73,#b3b595,5.79,#a6928c,4.29,#97847b,4.17,#846c65,2.82,#99966e,6.26,#aaab85,6.1,#908d67,6.83,#87845e,7.21,#7c7a5a,9.24,#8b675e,0.79,#a6a683,2.86,#919065,3.4,#aeb08d,3.96,#9a9b79,2.15,#b9a69a,2.73,#b3b595,5.79,#a6928c,4.29,#97847b,4.17,#846c65,2.82,,Dactylorhiza,Dactylorhiza praetermissa
