Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Europese hanenpoot,hanepoot Egelgras,Echinochloa crus-galli,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/43/zoom/3/lat/-68.59248658252949/lng/-37.96875
Sierlijke vetmuur,knoopvormende Spurrie,Sagina nodosa,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/44/zoom/3/lat/-68.59248658252949/lng/-37.96875
Spaanse ruiter,Engelsche Vederdistel,Cirsium dissectum,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/45/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gewone eikvaren,gewone Boomvaren,Polypodium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/46/zoom/3/lat/-68.59248658252949/lng/-37.96875
Moeraswolfsklauw,moerassige Wolfsklaauw,Lycopodiella inundata,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/47/zoom/3/lat/-68.59248658252949/lng/-37.96875
Witte ganzenvoet,roode Ganzevoet,Chenopodium album,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/48/zoom/3/lat/-68.59248658252949/lng/-37.96875
Beklierde duizendknoop,bleekbloeijende Duizendknoop,Persicaria lapathifolia,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/49/zoom/3/lat/-68.59248658252949/lng/-37.96875
Moeraslathyrus,moeras Latyrus,Lathyrus palustris,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/50/zoom/3/lat/-68.59248658252949/lng/-37.96875
Zeealsem,zee Alsem,Artemisia maritima,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/51/zoom/3/lat/-68.59248658252949/lng/-37.96875
Adelaarsvaren,adelaars Randvaren,Pteridium aquilinum,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/52/zoom/3/lat/-68.59248658252949/lng/-37.96875
Bonte krokus,Voorjaars Saffraan,Crocus vernus,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/53/zoom/3/lat/-68.59248658252949/lng/-37.96875
Veenbies,veenige Ries,Trichophorum germanicum,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/54/zoom/3/lat/-68.59248658252949/lng/-37.96875
Veelkleurig vergeet-mij-nietje,Gestrekte Muizenoor,Myosotis discolor,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/55/zoom/3/lat/-68.59248658252949/lng/-37.96875
Blauwe bosbes,blaauwe Boschbes,Vaccinium myrtillus,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/56/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gewoon barbarakruid,rondlobbige Steenraket,Barbarea vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/57/zoom/3/lat/-68.59248658252949/lng/-37.96875
Getande veldsla,getande Veldsalade,Valerianella dentata,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/58/zoom/3/lat/-68.59248658252949/lng/-37.96875
Eekhoorngras,dravikachtig Zwenkgras,Vulpia bromoides,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/59/zoom/3/lat/-68.59248658252949/lng/-37.96875
Trekrus,harde Bloembies,Juncus squarrosus,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/60/zoom/3/lat/-68.59248658252949/lng/-37.96875
Heidekartelblad,bosachtig Kartelblad,Pedicularis sylvatica,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/61/zoom/3/lat/-68.59248658252949/lng/-37.96875
Lidrus,hermoes Paardestaart,Equisetum palustre,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/62/zoom/3/lat/-68.59248658252949/lng/-37.96875
Zilverhaver,zilverkleurige Windhalm,Aira caryophyllea,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/63/zoom/3/lat/-68.59248658252949/lng/-37.96875
Drijvend fonteinkruid,drijvend Fonteinkruid,Potamogeton natans,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/64/zoom/3/lat/-68.59248658252949/lng/-37.96875
Bleeksporig bosviooltje,Bosch Viooltje,Viola riviniana,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/65/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gelderse roos,gewone Sneeuwbal,Viburnum opulus,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/66/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gele anemoon,Ranonkelachtige Anemoon,Anemone ranunculoides,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/67/zoom/3/lat/-68.59248658252949/lng/-37.96875
Drijvende waterweegbree,Drijvende Waterweegbree,Luronium natans,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/68/zoom/3/lat/-68.59248658252949/lng/-37.96875
Rode bosbes,Roode Boschbessen,Vaccinium vitis-idaea,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/69/zoom/3/lat/-68.59248658252949/lng/-37.96875
Kruipende boterbloem,Kruipende Ranonkel,Ranunculus repens,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/70/zoom/3/lat/-68.59248658252949/lng/-37.96875
Scherpe boterbloem,Gemeene Ranonkel,Ranunculus acris,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/71/zoom/3/lat/-68.59248658252949/lng/-37.96875
Holpijp,Pijpachtige Paardestaart,Equisetum fluviatile,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/72/zoom/3/lat/-68.59248658252949/lng/-37.96875
Tweehuizige zegge,Tweehuizig Rietgras,Carex dioica,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/73/zoom/3/lat/-68.59248658252949/lng/-37.96875
Pilzegge,Rondzadig Rietgras,Carex pilulifera,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/74/zoom/3/lat/-68.59248658252949/lng/-37.96875
Draadzegge,Wolzadig Rietgras,Carex lasiocarpa,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/75/zoom/3/lat/-68.59248658252949/lng/-37.96875
Ruige zegge,Behaard Rietgras,Carex hirta,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/76/zoom/3/lat/-68.59248658252949/lng/-37.96875
Zwarte zegge,Veen Rietgras,Carex nigra,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/77/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gewone waterbies,gemeene Waterbies,Eleocharis palustris,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/78/zoom/3/lat/-68.59248658252949/lng/-37.96875
Dolle kervel,dronkenmakende Kervel,Chaerophyllum temulum,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/79/zoom/3/lat/-68.59248658252949/lng/-37.96875
Gewone vlier,Zwarte Vlier,Sambucus nigra,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/80/zoom/3/lat/-68.59248658252949/lng/-37.96875
Grote waterranonkel,"Water Ranonkel, zie ook VI, 475 ",Ranunculus peltatus,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/81/zoom/3/lat/-68.59248658252949/lng/-37.96875
Waterranonkel spec.,"Water Ranonkel, zie ook VI, 474 ",Ranunculus Sect. Batrachium,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/82/zoom/3/lat/-68.59248658252949/lng/-37.96875
Beekpunge,ovaalbladige Eerenprijs,Veronica beccabunga,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/83/zoom/3/lat/-68.59248658252949/lng/-37.96875
Akkerereprijs,veld Eerenprijs,Veronica agrestis,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/84/zoom/3/lat/-68.59248658252949/lng/-37.96875
Tijmereprijs,thijmbladige Eerenprijs,Veronica serpyllifolia,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/85/zoom/3/lat/-68.59248658252949/lng/-37.96875
Kleine maagdenpalm,kleine Maagdenpalm,Vinca minor,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/86/zoom/3/lat/-68.59248658252949/lng/-37.96875
Vroegeling,Gemeene Vroegeling,Erophila verna,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/87/zoom/3/lat/-68.59248658252949/lng/-37.96875
Timoteegras,beemd Doddegras,Phleum pratense subsp. pratense,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/8/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Trosdravik,getroste Dravik,Bromus racemosus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/9/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Grote boterbloem,groote Ranonkel,Ranunculus lingua,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/10/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gulden boterbloem,gulde Ranonkel,Ranunculus auricomus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/11/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Harlekijn,harlekijns Standelkruid,Orchis morio,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/12/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kweek,kruipend Tarwgras (tarwegras),Elymus repens,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/13/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Stijve klaverzuring,gele Klaverzuring,Oxalis stricta,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/14/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Brede stekelvaren,verbreede Boschvaren,Dryopteris dilatata,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/15/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Smalle stekelvaren,fijngedoornde Boschvaren,Dryopteris carthusiana,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/16/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Dubbelloof,gemeen Dubbelloof,Struthiopteris spicant,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/17/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Vroege haver,kleine Haver,Aira praecox,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/18/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Moerasmuur,zijdelings bloeijende Sterremuur,Stellaria uliginosa,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/19/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Hoenderbeet,Stengomvattende Doovenetel,Lamium amplexicaule,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/20/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Amandelwilg,driehelmige Wilg,Salix triandra,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/21/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Vliegenzwam,Vliegdoodende Paddestoel,Amanita muscaria,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/22/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Klein blaasjeskruid,klein Blaaskruid,Utricularia minor,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/23/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Rietgras,rietachtig Kanariegras,Phalaris arundinacea,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/24/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Doorgroeid fonteinkruid,rondbladig Fonteinkruid,Potamogeton perfoliatus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/25/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gewone berenklauw,ruige Beerenklaauw,Heracleum sphondylium,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/26/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Rode schijnspurrie,rood Zandkruid,Spergularia rubra,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/27/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Echt duizendguldenkruid,gewoon Duizendguldenkruid,Centaurium erythraea,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/28/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Pijptorkruid,pijpachtig torkruid,Oenanthe fistulosa,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/29/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Melkeppe,Moeras Melkeppe,Peucedanum palustre,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/30/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Slipbladige ooievaarsbek,slippige Ooijevaarsbek,Geranium dissectum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/31/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kleine ooievaarsbek,allerkleinste Ooijevaarsbek,Geranium pusillum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/32/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Geelhartje,Purgeer-Vlas,Linum catharticum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/33/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Liggend hertshooi,nederliggend Hertshooi,Hypericum humifusum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/34/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Akkerandoorn,Akker Andoorn,Stachys arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/35/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Reukeloze kamille,Reukelooze Vuurwortel,Tripleurospermum maritimum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/36/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Geweizwam,Gehoornde Kogelzwam,Xylaria hypoxylon,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/37/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Knopig doornzaad,Kopvormend Doornzaad,Torilis nodosa,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/38/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Ronde zonnedauw,Rondbladige Zonnedauw,Drosera rotundifolia,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/39/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kleine zonnedauw ,Langbladige Zonnedauw,Drosera intermedia,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/40/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Hartbladzonnebloem,Hartvormig Duizelkruid,Doronicum pardalianches,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/41/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Wilde gagel,Ruikende Gagel,Myrica gale,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/42/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Glad vingergras,Glad Vingergras,Digitaria ischaemum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/43/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Beemdlangbloem,Beemd Langbloem,Festuca pratensis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/44/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Liggend walstro,Nederliggend Walstroo,Galium saxatile,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/45/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Zachte ooievaarsbek,Zachte Ooijevaarsbek,Geranium molle,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/46/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Bonte paardenstaart,Kleine Paardenstaart,Equisetum variegatum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/47/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Heen,Oever-Bies,Bolboschoenus maritimus s.str.,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/48/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Driekantige bies,Driekantige Bies,Schoenoplectus triqueter,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/49/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Spiesmelde,Openstaande Melde,Atriplex prostata,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/50/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kruipbrem,Behaarde Brem,Genista pilosa,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/51/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Zittende zannichellia,Water-Zannichellia,Zannichellia palustris,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/52/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Borstelgras,Stijf Borstelgras,Nardus stricta,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/53/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Ondergedoken moerasscherm,Moeras Dwergeppe,Apium inundatum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/54/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kalmoes,Geurige Kalmus,Acorus calamus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/55/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Grote muggenorchis,Langgespoord Standelkruid,Gymnadenia conopsea,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/56/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Grote wolfsklauw,Gewone Wolfsklaauw,Lycopodium clavatum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/57/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kamgras,Gemeen Kamgras,Cynosurus cristatus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/58/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Krulzuring,Gekrulde Zuring,Rumex crispus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/59/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Ridderzuring,Stompachtige Zuring,Rumex obtusifolius,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/60/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gevlekte orchis,Gevlekt Standelkruid,Dactylorhiza maculata subsp. maculata,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/61/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Teer vederkruid,Klein Vederkruid,Myriophyllum alterniflorum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/62/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gladde witbol,zacht Zorggras,Holcus mollis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/63/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gestreepte witbol,gewold Zorggras,Holcus lanatus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/64/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Fraai duizend-guldenkruid,bevallig Duizendguldenkruid,Centaurium pulchellum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/65/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Witte waterlelie,witte Plompen,Nymphaea alba,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/66/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Boskruiskruid,boschminnend Kruiskruid,Senecio sylvaticus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/67/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Dunstaart,beemd Doddegras,Parapholis strigosa,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/68/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Sint-Janskruid,doorboord Hershooi,Hypericum perforatum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/69/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Gekroesde melkdistel,stekelige Melkdistel,Sonchus asper,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/70/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Vlozegge,nedergebogen Rietgras,Carex pulicaris,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/71/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Smalle beukvaren,beuken Boomvaren,Phegopteris connectilis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/72/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Duist,Veld Vossenstaart,Alopecurus myosuroides,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/73/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Plat fonteinkruid,Lintbladig fonteinkruid,Potamogeton compressus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/74/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Tengere Zandmuur? ,thijmbladig Zandkruid,Arenaria serpyllifolia,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/75/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Zandhoornbloem,vijfhelmige Hoornbloem,Cerastium semidecandrum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/76/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kleinste egelskop,Drijvende Egelskop,Sparganium natans,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/77/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Veldereprijs,Akker Eerenprijs,Veronica arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/78/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kale vrouwenmantel,gelobde Leeuwenklaauw,Alchemilla glabra,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/79/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Grote leeuwenklauw?,kleine Leeuwenklaauw,Aphanes australis,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/80/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Aalbes,roode Aalbes,Ribes rubrum,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/81/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Tweerijige zegge,tweerijig Rietgras,Carex disticha,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/82/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Eenjarige hardbloem,éénjarige Hardbloem,Scleranthus annuus subsp. annuus,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/83/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kleine wolfsmelk,kleine Wolfsmelk,Euphorbia exigua,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/84/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Bochtige klaver,middelbare Klaver,Trifolium medium,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/85/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Liggende klaver,Veld-Klaver,Trifolium campestre,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/86/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Kikkerbeet,gemeene Vorschenbeet,Hydrocharis morsus-ranae,https://galerij.kb.nl/kb.html#/nl/florabatava07/page/87/zoom/3/lat/-68.72044056989829/lng/-31.46484375
Oot,wilde Haver,Avena fatua,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/9/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Paarbladig fonteinkruid,digtbladig Fonteinkruid,Groenlandia densa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/10/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Tripmadam,omgebogen Huislook,Sedum reflexum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/11/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Moerasmelkdistel,moeras Melkdistel,Sonchus palustris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/12/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Valse kamille,wilde Kamille,Anthemis arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/13/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Zompvergeet-mij-nietje,Veenachtig Muizenoor,Myosotis laxa subsp. cespitosa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/14/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Kleine watereppe,Smalbladige Watereppe,Berula erecta,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/15/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Moeraszuring,Moeras Zuring,Rumex palustris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/16/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Zwaluwtong,Omslingerende Duizendknoop,Fallopia convolvulus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/17/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Bleekgele hennepnetel,Lichtgele Hennepnetel,Galeopsis segetum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/18/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Plat beemdgras,Plathalmig Beemdgras,Poa compressa,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/19/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Gekroesd fonteinkruid,Gekruld Fonteinkruid,Potamogeton crispus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/20/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Bosaardbei,Gewone Aardbezie,Fragaria vesca,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/21/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Korensla,Kleine Akkerkool,Arnoseris minima,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/22/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Koningsvaren,Groote Pluimvaren,Osmunda regalis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/23/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Witte snavelbies,Witte Grasbies,Rhynchospora alba,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/24/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Fijn schapengras,Schapen Zwenkgras,Festuca filiformis,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/25/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Steenanjer,Driehoekige Anjelier,Dianthus deltoides,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/26/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Vlashuttentut,Getande Huttentut,Camelina sativa subsp. alyssum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/27/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Moeraskers,Stompgetande Waterkers,Rorippa palustris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/28/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Vlottende bies,Vlottend Naaktzaad,Eleogiton fluitans,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/29/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Vlaswarkruid,Vlas Warkruid,Cuscuta epilinum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/30/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Klein warkruid,Klein Warkruid,Cuscuta epithymum,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/31/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Paddenrus,Stompe Bloembies,Juncus subnodulosus,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/32/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Absintalsem,Bittere Alsem,Artemisia absinthium,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/33/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Vetblad,Heide Vetblad,Pinguicula vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/34/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Helm,Helm Riet,Calamagrostis arenaria,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/35/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Klimop,Gemeene Klimop,Hedera helix,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/36/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
Rozenkransje,Tweehuizig Roerkruid,Antennaria dioica,https://galerij.kb.nl/kb.html#/nl/florabatava08/page/37/zoom/3/lat/-66.93006025862445/lng/-28.828124999999996
