Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Basterdhyacint,Wilde Hyacinth,Hyacinthoides × massartiana,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/51/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone agrimonie,Gemeene Agrimony,Agrimonia eupatoria,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/52/zoom/3/lat/-67.06743335108297/lng/-51.328125
Groot kaasjeskruid,Grote Malowe,Malva sylvestris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/53/zoom/3/lat/-67.06743335108297/lng/-51.328125
Brem,Gewone Brem,Cytisus scoparius,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/54/zoom/3/lat/-67.06743335108297/lng/-51.328125
Klein hoefblad,Donsagtig Hoefblad,Tussilago farfara,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/55/zoom/3/lat/-67.06743335108297/lng/-51.328125
IJle dravik,Schrale Dravik,Anisantha sterilis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/56/zoom/3/lat/-67.06743335108297/lng/-51.328125
Smalle weegbree,Smalle Weegbree,Plantago lanceolata,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/57/zoom/3/lat/-67.06743335108297/lng/-51.328125
Akkerhoornbloem,Akker Oogentroost,Cerastium arvense,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/58/zoom/3/lat/-67.06743335108297/lng/-51.328125
Moeraswolfsmelk,Moeras Wolfs-Melk,Euphorbia palustris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/59/zoom/3/lat/-67.06743335108297/lng/-51.328125
Steenkruidkers,Steen Kersse,Lepidium ruderale,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/60/zoom/3/lat/-67.06743335108297/lng/-51.328125
Geel nagelkruid,Gemeen Nagelkruid,Geum urbanum,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/61/zoom/3/lat/-67.06743335108297/lng/-51.328125
Sofiekruid,Sophie Water-Kers,Descurainia sophia,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/62/zoom/3/lat/-67.06743335108297/lng/-51.328125
Robertskruid,Stinkende Ojevaarsbek,Geranium robertianum,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/63/zoom/3/lat/-67.06743335108297/lng/-51.328125
Ringelwikke,Ruige Linze,Vicia hirsuta,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/64/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone margriet,Witte Ganze-bloem,Leucanthemum vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/65/zoom/3/lat/-67.06743335108297/lng/-51.328125
Straatgras,Klein Beemd-Gras,Poa annua,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/66/zoom/3/lat/-67.06743335108297/lng/-51.328125
Plat fonteinkruid,Plat-gesteeld Fontein-Kruid,Potamogeton cf compressus,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/67/zoom/3/lat/-67.06743335108297/lng/-51.328125
Waterpunge,Rondbladige Water-punge,Samolus valerandi,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/68/zoom/3/lat/-67.06743335108297/lng/-51.328125
Melganzenvoet,Roode Ganzevoet,Chenopodium album,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/69/zoom/3/lat/-67.06743335108297/lng/-51.328125
Grasmuur,Grasaartige Stern-Muur,Stellaria graminea,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/70/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gele plomp,Geele Plompen,Nuphar lutea,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/71/zoom/3/lat/-67.06743335108297/lng/-51.328125
Valse salie,Wilde Salie Gamander,Teucrium scorodonia,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/72/zoom/3/lat/-67.06743335108297/lng/-51.328125
Hazenpootje,Hazen-Klaver,Trifolium arvense,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/73/zoom/3/lat/-67.06743335108297/lng/-51.328125
Knoopkruid,Droge Centaurie,Centaurea jacea,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/74/zoom/3/lat/-67.06743335108297/lng/-51.328125
Muurvaren,Steen-Ruite Miltkruid,Asplenium ruta-muraria,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/75/zoom/3/lat/-67.06743335108297/lng/-51.328125
