Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0060R.tif.jpg;illustration;Lycopus europaeus;Lycopus europaeus;Lycopus;europaeus;Fungi;Cortinariaceae;Geelplaatgordijnzwam s.l.;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/27/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0062R.tif.jpg;illustration;Valeriana officinalis;Valeriana officinalis;Valeriana;officinalis;Flowering plants;Cyperaceae;cf. Stijve zegge;https://galerij.kb.nl/kb.html#/nl/florabatava13/page/53/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0064R.tif.jpg;illustration;Lonicera periclymenum;Lonicera periclymenum;Lonicera;periclymenum;Flowering plants;Salicaceae;Basterdkraakwilg;https://galerij.kb.nl/kb.html#/nl/florabatava14/page/15/zoom/3/lat/-65.03506043658815/lng/-28.916015625;;;;;;;;;;;;;
1;KW_T_423_1_0066R.tif.jpg;illustration;Aethusa cynapium;Aethusa cynapium;Aethusa;cynapium;Flowering plants;Cyperaceae;Geelgroene x Blonde zegge;https://galerij.kb.nl/kb.html#/nl/florabatava18/page/80/zoom/3/lat/-68.56038368664157/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0068R.tif.jpg;illustration;Adoxa moschatellina;Adoxa moschatellina;Adoxa;moschatellina;Flowering plants;Ulmaceae;Hollandse iep;https://galerij.kb.nl/kb.html#/nl/florabatava15/page/86/zoom/3/lat/-65.98227002980873/lng/-25.224609375;;;;;;;;;;;;;
1;KW_T_423_1_0070R.tif.jpg;illustration;Ranunculus bulbosus;Ranunculus bulbosus;Ranunculus;bulbosus;Flowering plants;Ericaceae;Bastaardbosbes;https://galerij.kb.nl/kb.html#/nl/florabatava22/page/64/zoom/3/lat/-69.13127122963648/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0072R.tif.jpg;illustration;Cardamine pratensis;Cardamine pratensis;Cardamine;pratensis;Flowering plants;Ericaceae;Bastaardbosbes;https://galerij.kb.nl/kb.html#/nl/florabatava22/page/64/zoom/3/lat/-69.13127122963648/lng/-27.333984375;;;;;;;;;;;;;
1;KW_T_423_1_0074R.tif.jpg;illustration;Erodium (Geranium) cicutarium;Erodium cicutarium;Erodium;cicutarium;Fungi;Entolomataceae;Staalsteeltje spec.;https://galerij.kb.nl/kb.html#/nl/florabatava27/page/62/zoom/3/lat/-66.23145747862573/lng/-39.55078125;;;;;;;;;;;;;
1;KW_T_423_1_0076R.tif.jpg;illustration;Hieracium pilosella;Pilosella officinarum;Pilosella;officinarum;Fungi;Entolomataceae;Staalsteeltje spec.;https://galerij.kb.nl/kb.html#/nl/florabatava27/page/62/zoom/3/lat/-66.23145747862573/lng/-39.55078125;;;;;;;;;;;;;
1;KW_T_423_1_0078R.tif.jpg;illustration;Urtica dioica;Urtica dioica;Urtica;dioica;Fungi;Entolomataceae;Staalsteeltje spec.;https://galerij.kb.nl/kb.html#/nl/florabatava27/page/62/zoom/3/lat/-66.23145747862573/lng/-39.55078125;;;;;;;;;;;;;
