plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_1_0020R,1,Veronica chamaedrys,Veronica chamaedrys,Veronica,chamaedrys,Flowering plants,Brassicaceae,Pinksterbloem,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/13/zoom/3/lat/-66.12496236487968/lng/-29.267578125,False,Veronica chamaedrys
KW_T_423_1_0022R,1,Menyanthes trifoliata,Menyanthes trifoliata,Menyanthes,trifoliata,Flowering plants,Ranunculaceae,Bosanemoon (gevuldbloemig),https://galerij.kb.nl/kb.html#/nl/florabatava16/page/78/zoom/3/lat/-66.12496236487968/lng/-29.267578125,False,Menyanthes trifoliata
KW_T_423_1_0024R,1,Anagallis arvensis,Anagallis arvensis subsp. arvensis,Anagallis,arvensis subsp. arvensis,Flowering plants,Plantaginaceae,Vlasbekje (pelorisch),https://galerij.kb.nl/kb.html#/nl/florabatava03/page/55/zoom/3/lat/-69.162557908105/lng/-39.19921875,False,Anagallis arvensis subsp. arvensis
KW_T_423_1_0026R,1,Lychnis flos cuculi,Silene flos-cuculi,Silene,flos-cuculi,Flowering plants,Saxifragaceae,Haarlems klokkenspel,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/39/zoom/3/lat/-65.98227002980873/lng/-25.224609375,False,Silene flos-cuculi
KW_T_423_1_0028R,1,Caltha palustris,Caltha palustris subsp. palustris,Caltha,palustris subsp. palustris,Flowering plants,Asteraceae,Akkerdistel,https://galerij.kb.nl/kb.html#/nl/florabatava23/page/56/zoom/3/lat/-67.16995497083366/lng/-27.509765625,False,Caltha palustris subsp. palustris
KW_T_423_1_0030R,1,Convallaria majalis,Convallaria majalis,Convallaria,majalis,Flowering plants,Poaceae,Geknikte vossenstaart,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/10/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Convallaria majalis
KW_T_423_1_0032R,1,Epilobium angustifolium,Chamaenerion angustifolium,Chamaenerion,angustifolium,Flowering plants,Cyperaceae,Dwergzegge / Geelgroene zegge,https://galerij.kb.nl/kb.html#/nl/florabatava06/page/42/zoom/3/lat/-68.59248658252949/lng/-37.96875,False,Chamaenerion angustifolium
KW_T_423_1_0034R,1,Erica tetralix,Erica tetralix,Erica,tetralix,Mosses,Orthotrichaceae,cf. Gewone haarmuts,https://galerij.kb.nl/kb.html#/nl/florabatava12/page/43/zoom/3/lat/-66.5482634621744/lng/-29.091796875,False,Erica tetralix
KW_T_423_1_0036R,1,Oxalis acetosella,Oxalis acetosella,Oxalis,acetosella,Fungi,Postiaceae,Boompuist anamorf,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/90/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Oxalis acetosella
KW_T_423_1_0038R,1,Viola tricolor,Viola tricolor,Viola,tricolor,Flowering plants,Salicaceae,Canadapopulier,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/81/zoom/3/lat/-65.03506043658815/lng/-28.916015625,False,Viola tricolor
KW_T_423_1_0040R,1,Hippuris vulgaris,Hippuris vulgaris,Hippuris,vulgaris,Flowering plants,Salicaceae,Canadapopulier,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/81/zoom/3/lat/-65.03506043658815/lng/-28.916015625,False,Hippuris vulgaris
KW_T_423_1_0042R,1,Hottonia palustris,Hottonia palustris,Hottonia,palustris,Flowering plants,Poaceae,cf. Hennegras,https://galerij.kb.nl/kb.html#/nl/florabatava13/page/89/zoom/3/lat/-66.5482634621744/lng/-29.091796875,False,Hottonia palustris
KW_T_423_1_0044R,1,Convulvulus arvensis,Convolvulus arvensis,Convolvulus,arvensis,Flowering plants,Salicaceae,Grauwe abeel,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/86/zoom/3/lat/-65.03506043658815/lng/-28.916015625,False,Convolvulus arvensis
KW_T_423_1_0046R,1,Galanthus nivalis,Galanthus nivalis,Galanthus,nivalis,Flowering plants,Salicaceae,Grauwe abeel,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/86/zoom/3/lat/-65.03506043658815/lng/-28.916015625,False,Galanthus nivalis
KW_T_423_1_0048R,1,Papaver argemone,Papaver argemone,Papaver,argemone,Flowering plants,Rosaceae,Duinroos x Egelantier,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/69/zoom/3/lat/-65.03506043658815/lng/-28.916015625,False,Papaver argemone
KW_T_423_1_0050R,1,Ajuga reptans,Ajuga reptans,Ajuga,reptans,Flowering plants,Rosaceae,Duinroos x Egelantier,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/19/zoom/3/lat/-70.81581215931347/lng/-57.568359375,False,Ajuga reptans
KW_T_423_1_0052R,1,Fumaria bulbosa,Corydalis solida,Corydalis,solida,Flowering plants,Rosaceae,Braam spec.,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/62/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Corydalis solida
KW_T_423_1_0054R,1,Ornithopus perpusillus,Ornithopus perpusillus,Ornithopus,perpusillus,Flowering plants,Potamogetonaceae,Plat fonteinkruid,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/67/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Ornithopus perpusillus
