plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_24_0124L,24,Cuscuta gronovii,Cuscuta gronovii,Cuscuta,gronovii,Flowering plants,Salicaceae,Laurierwilg,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/23/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Cuscuta gronovii
KW_T_423_24_0126L,24,Mutinus caninus,Mutinus caninus s.l.,Mutinus,caninus s.l.,Flowering plants,Orchidaceae,Bijenorchis,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/25/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Mutinus caninus s.l.
KW_T_423_24_0128L,24,Flammula penetrans,Coniferspilus penetrans,Coniferspilus,penetrans,Flowering plants,Geraniaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/26/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Coniferspilus penetrans
KW_T_423_24_0130L,24,Ceratiomyxa mucida,Ceratiomyxa fruticulosa,Ceratiomyxa,fruticulosa,Fungi,Lyophyllaceae,Plaatjeszwamgast,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/27/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Ceratiomyxa fruticulosa
KW_T_423_24_0133L,24,Rubus diversifolius,Rubus x umbelliformis,Rubus,x umbelliformis,Flowering plants,Brassicaceae,Slanke waterkers,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/28/zoom/3/lat/-62.79493487887006/lng/-23.818359375,False,Rubus x umbelliformis
KW_T_423_24_0135L,24,Carex vulpina x remota (Carex axillaris),Carex x pseudoaxillaris,Carex,x pseudoaxillaris,Flowering plants,Brassicaceae,Slanke waterkers,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/29/zoom/3/lat/-62.79493487887006/lng/-23.818359375,False,Carex x pseudoaxillaris
KW_T_423_24_0138L,24,Vicia calcarata,Vicia monantha,Vicia,monantha,Fungi,Mycenaceae,Bundelmycena,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/30/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Vicia monantha
KW_T_423_24_0140L,24,Melilotus macrocarpus,Melilotus macrocarpus,Melilotus,macrocarpus,Fungi,Hymenochaetaceae,Ruige weerschijnzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/31/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Melilotus macrocarpus
KW_T_423_24_0142L,24,Coprinus lagopus,Coprinopsis lagopus,Coprinopsis,lagopus,Fungi,Hymenochaetaceae,Ruige weerschijnzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/31/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Coprinopsis lagopus
KW_T_423_24_0144L,24,Rumex maximus,Rumex hydrolapathum x aquaticus,Rumex,hydrolapathum x aquaticus,Flowering plants,Rosaceae,Bleke fluweelbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/32/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rumex hydrolapathum x aquaticus
KW_T_423_24_0146L,24,Briza minor,Briza minor,Briza,minor,Flowering plants,Rosaceae,Reestruweelbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/33/zoom/3/lat/-65.6220226151064/lng/-26.103515626,False,Briza minor
KW_T_423_24_0148L,24,Azolla filiculoides,Azolla filiculoides,Azolla,filiculoides,Flowering plants,Poaceae,Beemdhaver,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/34/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Azolla filiculoides
KW_T_423_24_0152L,24,Cordyceps ophioglossoides,Elaphocordyceps ophioglossoides,Elaphocordyceps,ophioglossoides,Fungi,Polyporaceae,Roodporiehoutzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/35/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Elaphocordyceps ophioglossoides
KW_T_423_24_0154L,24,Stereum hirsutum,Stereum hirsutum,Stereum,hirsutum,Fungi,Clitocybaceae,Adonistrechterzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/36/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Stereum hirsutum
KW_T_423_24_0156L,24,Reseda alba,Reseda alba,Reseda,alba,Flowering plants,Rosaceae,Rode contrastbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/37/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Reseda alba
KW_T_423_24_0158L,24,Bromus arvensis var. velutinus,Bromus arvensis,Bromus,arvensis,Flowering plants,Poaceae,Rappige Dravik,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/38/zoom/3/lat/-62.79493487887006/lng/-23.818359375,False,Bromus arvensis
KW_T_423_24_0160L,24,Rumex aquaticus,Rumex aquaticus,Rumex,aquaticus,Fungi,Sclerotiniaceae,Anemonenbekerzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/40/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Rumex aquaticus
