plant_id,dinov2
KW_T_423_13_0078L,11
KW_T_423_13_0082L,11
KW_T_423_13_0084L,21
KW_T_423_13_0088L,3
KW_T_423_13_0091L,5
KW_T_423_13_0093L,9
KW_T_423_13_0095L,22
KW_T_423_13_0097L,5
KW_T_423_13_0099L,5
KW_T_423_13_0103L,5
KW_T_423_13_0105L,5
KW_T_423_13_0107L,5
KW_T_423_13_0109L,3
KW_T_423_13_0112L,14
KW_T_423_13_0114L,3
KW_T_423_13_0119L,5
KW_T_423_13_0121L,5
KW_T_423_13_0123L,15
KW_T_423_13_0129L,5
KW_T_423_13_0131L,21
KW_T_423_13_0133L,7
KW_T_423_13_0135L,5
KW_T_423_13_0137L,5
KW_T_423_13_0139L,3
KW_T_423_13_0141L,14
KW_T_423_13_0143L,10
KW_T_423_13_0145L,5
KW_T_423_13_0147L,21
KW_T_423_13_0149L,3
KW_T_423_13_0151L,3
KW_T_423_13_0153L,7
KW_T_423_13_0153R,1
KW_T_423_13_0156L,5
KW_T_423_13_0158L,5
KW_T_423_13_0160L,4
KW_T_423_13_0162L,4
KW_T_423_13_0166L,5
KW_T_423_13_0168L,3
KW_T_423_13_0170L,4
KW_T_423_13_0172L,4
KW_T_423_14_0010L,10
KW_T_423_14_0012L,21
KW_T_423_14_0014L,3
KW_T_423_14_0016L,4
KW_T_423_14_0018L,4
KW_T_423_14_0020L,15
KW_T_423_14_0022L,1
KW_T_423_14_0026L,6
KW_T_423_14_0028L,4
KW_T_423_14_0030L,1
KW_T_423_14_0032L,5
KW_T_423_14_0034L,5
KW_T_423_14_0036L,3
KW_T_423_14_0038L,4
KW_T_423_14_0044L,5
KW_T_423_14_0046L,3
KW_T_423_14_0048L,4
KW_T_423_14_0050L,15
KW_T_423_14_0054L,22
KW_T_423_14_0056L,5
KW_T_423_14_0058L,3
KW_T_423_14_0060L,8
KW_T_423_14_0062L,14
KW_T_423_14_0064L,1
KW_T_423_14_0066L,3
KW_T_423_14_0068L,4
KW_T_423_14_0070L,1
KW_T_423_14_0072L,1
KW_T_423_14_0074L,1
KW_T_423_14_0076L,4
KW_T_423_14_0078L,4
KW_T_423_14_0080L,8
KW_T_423_14_0082L,5
KW_T_423_14_0084L,17
KW_T_423_14_0086L,3
KW_T_423_14_0088L,3
KW_T_423_14_0090L,22
KW_T_423_14_0091L,10
KW_T_423_14_0093L,22
KW_T_423_14_0095L,5
KW_T_423_14_0097L,4
KW_T_423_14_0101L,7
KW_T_423_14_0103L,22
KW_T_423_14_0105L,3
KW_T_423_14_0107L,4
KW_T_423_14_0111L,1
KW_T_423_14_0113L,3
KW_T_423_14_0115L,4
KW_T_423_14_0117L,4
KW_T_423_14_0119L,7
KW_T_423_14_0122L,1
KW_T_423_14_0124L,0
KW_T_423_14_0126L,4
KW_T_423_14_0128L,8
KW_T_423_14_0132L,22
