genus,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Byssomerulius,1,,,,54.752349477468044,0.4637831210479425,15.032094489504704
Cakile,1,,,,58.079746609981854,-4.388383932787267,15.217011830817608
Calamagrostis,7,10.376319185838613,4.305179347478956,204.20479519639076,64.09402235288871,-1.746942298770173,11.952159057854967
Calendula,1,,,,63.19578634461,-8.403070930428203,22.8129560144044
Calepina,1,,,,55.861661400383014,-2.5664572279120534,9.65186203992851
Calicium,1,,,,62.351704023684455,-1.353652698371302,20.79172761678482
Calla,1,,,,70.05958922786508,-13.79683861881388,22.604044956095745
Calliergon,2,13.670901321314428,0.0,,59.90868183530692,-1.7338580596184128,8.070104217522989
Calliergonella,2,19.269099526480748,0.0,,56.66854409798368,-1.153978520497136,10.769509987505252
Callitriche,4,15.182057245493112,4.324351978876688,249.1656840026271,60.55865916064229,-2.8956290158264366,20.686036425060262
Calluna,1,,,,68.3315706898466,-1.9182193531541687,14.929889124949007
Calocybe,3,15.367414656127197,3.7887697476508824,,59.44016044264288,1.2255040271308646,17.80547242640121
Caltha,1,,,,67.56949711851433,-5.94006988709075,14.359437401901566
Calvatia,3,19.98079876831862,5.795084943806269,,62.38084770631744,-2.9141195452902,17.444097111120065
Calyptella,2,17.480927347529367,0.0,,67.1377383776679,-1.3245615847782872,34.42923587600857
Camelina,2,0.7454272660256959,0.0,,66.56434595579398,-4.798199703023178,16.929431068542456
Campanula,8,9.745170774327462,5.338789821206705,202.9236905291957,53.24717616637443,-1.1919264389032467,13.013043763385191
Campylium,1,,,,71.14705613515814,-2.665335763678859,17.509496411185186
Cantharellula,1,,,,55.08027021869197,-2.4880539214639694,14.74104683010632
Cantharellus,2,19.036895187178157,0.0,,59.70387950190366,1.4516861565335781,28.12483465888089
Capsella,1,,,,56.75178938914133,-2.001566409075109,14.329274313891187
Cardamine,5,8.02099350176841,4.369519290805571,25.652952780239218,59.321512767284815,-1.8330871352376643,14.345449633432995
Carduus,2,8.70732468004338,0.0,,54.49039480571449,-3.649653712018263,13.011502505042564
Carex,58,11.365845171012854,6.46916818191164,2905.6938691735822,57.369177774717386,-1.594693440822295,13.629024405259033
Carlina,1,,,,65.5305990076701,-2.0725699924556964,17.278171100273724
Carpinus,1,,,,47.03446368600608,0.11438532510309996,10.578883921763518
Carum,1,,,,69.80098969756165,-1.7754552903391483,17.256523824882414
Castanea,1,,,,66.04948676901934,-1.6207385068962852,17.44705138988429
Catabrosa,1,,,,58.99282796180857,-2.0525821746689283,16.9887858718743
Caucalis,1,,,,61.37427721271875,-0.07928720917026846,20.37025714584697
Cenchrus,1,,,,62.23190478352218,-2.243529100950719,13.77324846211967
Centaurea,9,8.202788829675391,3.298345116339774,206.03068240361446,58.04504042801571,-0.9520198330640868,14.49032087476262
Centaureum,1,,,,57.56673933345806,-0.08100676460246525,10.7595683035819
Centaurium,2,3.757740704646967,0.0,,58.82384643443665,-3.4522351497373527,15.657554197378502
Centunculus,1,,,,63.8440265251431,-8.661373436202863,15.966162782988455
Cephalanthera,2,25.280725909006872,0.0,,69.98574335101374,-1.6196219193675996,28.594270523665813
Cephaloziella,1,,,,56.68840011736631,-1.0389757844270497,14.636481866380114
Cerastium,4,5.1809978844742055,2.09551365600698,2.088396304485457,56.85963648339016,-1.4721486483468458,15.467548355627207
Ceratiomyxa,1,,,,68.82355315163935,-1.3652126453423474,18.999034220857396
Ceratocapnos,1,,,,57.61991484707916,-2.231489864976659,11.87857905131025
Ceratodon,1,,,,55.1583024527839,0.2010305098529564,10.314005542268305
Ceratophyllum,1,,,,63.02618750371175,-9.896103864858523,21.954278724075913
Cerinthe,1,,,,56.43801977113523,-13.776391805751413,21.728991316996968
Cerrena,1,,,,65.90745995278867,0.48126719194170176,16.825062751305843
Cetraria,3,9.583045722820927,2.6676200140549273,,58.15042880196661,-1.4170231940877573,15.805348706149653
Chaenorhinum,1,,,,52.41406396252367,-1.8721067519792602,13.388242162121626
Chaerophyllum,2,13.859735576463201,0.0,,57.34185920748692,-0.8590057839470735,18.895040744421145
Chaetomorpha,1,,,,70.07213173312023,-1.6262081935091326,16.876812529553142
Chamaenerion,2,6.445659809339446,0.0,,59.44801739102187,-0.23611078117992543,15.297136373820086
Chara,1,,,,50.85136798170803,-7.965134586298786,26.216926642835865
Chelidonium,1,,,,52.14852566258979,-2.68839868424068,17.049170099046933
Chenopodium,10,12.867707507734112,7.254433431946106,983.819707685806,63.26227909238768,-1.7503660472627165,14.912079966768893
Chlorophyllum,1,,,,57.83388791854786,-13.055351400317399,5.749959085655547
Chondrilla,1,,,,66.79727126887627,0.27799887472641743,15.614040567204002
Chondrostereum,1,,,,55.435548431181715,2.7552129881041196,16.991484355846005
Chondrus,1,,,,49.837527734804965,-1.5479872458452022,11.252009958313682
Chordaria,1,,,,57.83403540178128,-0.33442075258482185,9.781661251304348
Chorispora,1,,,,55.90457819617238,-0.9398239525588136,10.71353174576799
Chroogomphus,1,,,,57.58788519861499,-1.1440550610243196,12.077227012353521
Chrysosplenium,2,28.753115878254604,0.0,,61.96016851043002,-3.267650270081423,15.277580856475288
Cicendia,1,,,,49.97902168585226,-1.5052014254053199,16.961232850559565
Cichorium,2,9.772434743688104,0.0,,60.759007110489016,-4.893379256358265,14.205394855938696
Cicuta,1,,,,52.047545184474416,-1.5882330783217224,13.161824656944953
Cinclidium,1,,,,51.27883402495517,0.1492294664637628,9.771404104611335
Circaea,1,,,,64.84173638093961,-1.519762877362812,14.543037090770191
Cirsium,8,8.741473539142685,3.578506640868102,140.29813573382378,57.707620066964765,-0.9214764660675101,15.431199236746345
Cladium,1,,,,53.968660081173155,1.354345670081075,13.549729670677598
Cladonia,2,10.365584930702704,0.0,,61.1510561264863,-1.0762244312812967,14.854456626107616
Cladophora,1,,,,60.01261948412497,-0.5041491349243714,7.353428970664437
Clavaria,2,5.937542741306194,0.0,,53.99582313097953,-0.9438619181795493,12.762300100444898
Clavariadelphus,1,,,,65.02031398321998,3.19073002027498,25.664181135395726
Claviceps,2,4.304211646901375,0.0,,57.7693193983192,-0.822235439877904,17.169485777067862
Clavulina,4,13.069663264185065,5.418553370139311,8.12560182452499,61.939600557027035,-0.6123978573668307,21.45161267186176
Clavulinopsis,4,10.159608003316864,3.9566639517036464,58.61020984168085,57.9243767864156,0.49224823370567394,14.339533070531825
Claytonia,1,,,,58.46315018607879,-0.10509123109876628,19.378182400480327
Clematis,2,8.201488527684216,0.0,,55.343444658071455,-3.227681171404897,20.424154325884388
Clethra,1,,,,52.07383855803647,-0.9523814111910557,18.12969503836718
Climacium,1,,,,51.45494017417052,-1.9026312722980345,15.40108270951597
Clinopodium,3,13.742029487761314,3.7537445646427527,,65.8728999864993,-0.6104711790379896,17.767346171140694
Clitocybe,11,12.886757973336671,5.045959216912211,783.6069275910269,58.942976063628834,-0.2857043853632575,18.660593548562545
Clitopilus,1,,,,54.45341142302132,0.9670587372090624,16.5741292427399
Cochlearia,4,12.175930243733172,3.4884417376618684,111.40046393985921,56.20913292749756,-0.500557559256789,18.83100060592831
Coincya,1,,,,66.8774132970308,-12.0426665807194,21.530307836308914
Colchicum,1,,,,53.20236604550665,-0.25493264716642905,11.722947591240578
Coleosporium,1,,,,50.28961285377456,-8.853322697708247,19.20595823856159
Collybia,1,,,,60.83167099952923,-0.09242480136346365,19.064483782122196
Coltricia,1,,,,52.237242525187845,-0.5468902148813881,7.344904659079948
Colutea,1,,,,48.55437645159019,-2.1432505856616944,11.654982042236854
Comarum,1,,,,62.865596358411274,-4.478102147822835,24.786241176991798
Conium,1,,,,56.179881674484776,-1.6173430570847822,16.46035503981344
Conringia,1,,,,56.92344096947835,-1.633489809454243,8.912091132997489
Consolida,1,,,,60.53412392639281,-1.675351625653045,13.38336239873779
Convallaria,1,,,,60.77801968437393,-1.7944436267682127,15.209984511508923
Convolvulus,4,10.624054199415768,3.7591750388599463,21.362529582038384,57.03388060221455,-5.357572338948955,16.159769027316
Conyza,1,,,,64.5638895942143,-2.9728181625579926,16.922390414847573
Coprinellus,3,17.602105263885495,4.039818147529986,,60.49599245842833,0.6902222160620235,12.89367638600109
Coprinopsis,2,9.217732189089377,0.0,,59.66158836904715,3.9436301989799776,18.173297200905566
Coprinus,2,9.133559969509625,0.0,,62.165357795598354,-0.186524345302364,16.449380396933922
Corallorhiza,1,,,,65.5755492438469,-11.764199704878454,29.62084413106962
Cordyceps,1,,,,62.73886238712249,-1.8029892428782581,16.10160053237618
Coriandrum,1,,,,70.372466700339,-8.415460799365476,24.706402694859786
Coriolopsis,1,,,,58.37291033023479,-7.485452069409547,20.706275649574064
Corispermum,2,7.7784632306176995,0.0,,51.021231297673445,-0.34214977886618253,14.270713311570388
Cornus,3,16.703062498537818,4.6276566141177256,,58.95173427569845,-4.091683837572615,15.07790478176846
Coronilla,1,,,,63.20109745931651,3.1175095454554764,23.12654384492034
Corrigiola,1,,,,50.69110273283602,-2.3869377795329862,14.836943114216496
Cortinarius,19,11.570691496017846,6.162809366759397,1695.281025603039,59.85317487613038,-1.0237586089757666,17.093035272165864
Corydalis,2,8.685996900728469,0.0,,52.018737794321595,-2.3435831943157024,12.314608128362917
Corylus,1,,,,54.6998257382664,-2.5272073990769064,17.81510105250186
Corynephorus,2,10.400360633168884,0.0,,61.144737919403134,-2.5494032621697116,15.615641294785474
Cota,1,,,,65.24215750110594,4.722529644542218,26.657428751077404
Cotula,1,,,,54.60416950148736,-5.558608965567178,15.320975537727056
Crassula,1,,,,61.200989889153135,-2.202712331731608,16.77773290978022
Crataegus,2,6.7855159445395135,0.0,,53.12471372641315,-5.48781816574709,16.48906835222079
Craterellus,1,,,,58.23042533112335,17.247644605180522,28.896197369619603
Crepidotus,2,13.72689412521813,0.0,,55.76813346855692,0.6483661511802778,14.96688688110427
Crepis,9,15.224359332341855,7.36689599485844,1119.9495622460638,59.26805385015051,-0.7042805978271705,15.81230036861125
Crithmum,1,,,,74.48266289811237,-3.8517031585292654,17.089718560140774
Crocus,1,,,,63.57187884086768,-1.485744150872521,14.25285680396669
Cronartium,1,,,,67.21873391811273,1.3333341027322092,22.034676533389437
Crucianella,1,,,,53.477325797627316,-3.8594200191039705,17.392180699144497
Cruciata,1,,,,66.17184155644958,-2.1168179116238757,19.27839586656638
Crupina,1,,,,49.8475024656199,-6.075316995507175,18.170881000937378
Cryphaea,1,,,,52.71731711589648,-1.7050596496175046,12.866342768413205
Cuscuta,4,6.503952745575329,3.180459687063804,4.20690907488345,63.386247496563804,-0.21446253120009862,15.854416064204484
Cyathus,2,14.73826961563845,0.0,,59.15132029360404,-1.9577837813553496,13.932530404064764
Cymbalaria,1,,,,56.132106771551506,-2.260187415851707,16.216308253237834
Cynodon,1,,,,57.19061784623547,-5.0774380186296675,10.807667666564223
Cynoglossum,1,,,,56.6058226768679,-3.512701007933248,11.212190710096454
Cynosurus,2,5.048934140640751,0.0,,68.67493783691927,-1.3662097911992301,17.565774330832593
Cyperus,3,15.045226807741342,4.744356139537284,,64.7448708443368,-1.8135675369379534,17.29536005014095
Cystoderma,2,5.385203641704102,0.0,,54.29988279343741,-6.463300730687475,17.577060367108448
Cystopteris,1,,,,55.70714094652236,0.3277018985934694,8.3477781562923
Cytisus,1,,,,64.86423429124058,-2.0222096523471764,17.355331626627258
Dactylis,1,,,,49.07373029309012,-3.3497322655800503,15.860111429017952
Dactylorhiza,4,9.106140536649333,3.681746785840141,0.6756854987849734,55.66702073379203,-0.6096887404984502,14.822510541947596
Daedalea,1,,,,65.23445314663451,-0.8348308459218688,14.980912924028077
Daedaleopsis,1,,,,53.94123650133843,0.10358765507820933,15.497686440103251
Danthonia,2,7.031810307063941,0.0,,58.80878469683029,1.3365477634040297,17.398306911045943
Daphne,1,,,,53.13840294779172,-0.42695589009378787,7.421489105484676
Datura,1,,,,55.3824008329361,-5.181554416315194,23.286636297561074
Daucus,1,,,,54.685381706392036,-3.854216077224586,13.74670110647482
Deschampsia,3,10.344457907117041,4.835411538580499,,54.354126155698594,-0.2981414923307619,15.623930607781224
Descurainia,1,,,,60.881417706438114,-2.2182806806209916,15.43125568797928
Dianthus,4,11.7722133768282,5.5198172438880935,30.293060884480013,68.90343167430271,-2.282320271649123,14.95778783267521
Dichoropetalum,2,12.319986733068456,0.0,,58.757639169929334,-1.128031549286392,11.964849045475265
Dicranella,1,,,,52.091152804564196,-1.6570841509054917,10.283708007853477
Dicranoweisia,1,,,,51.97203944353111,-2.0284849677980317,5.482690659354846
Dicranum,2,28.3535457046361,0.0,,55.556790803809776,-1.2925921932134057,11.933822455791326
Diervilla,1,,,,51.788074473423094,-0.5492695579476808,11.671193386511302
Digitalis,2,26.22745443305587,0.0,,61.166921110481326,-5.319580956605812,14.491038250652863
Digitaria,2,10.844407722272276,0.0,,64.28678370265109,-0.17633038547635937,16.070208602398672
Diphasiastrum,1,,,,53.34147028611822,-2.003330448826128,14.035288671360345
Diplomitoporus,1,,,,79.3963647551253,0.48702499811169403,47.5901071167581
Diplotaxis,2,16.410107114145234,0.0,,69.96550825455239,-1.1570212301199345,13.471047690331368
Dipsacus,3,10.22661164590919,3.2375130041699998,,63.26504572688503,-3.8897945493466457,18.53934637585288
Discina,1,,,,55.416970205172355,-11.406603923707136,17.45719475129851
Disciotis,1,,,,59.56212372081623,-2.387590688900768,10.141039962050348
Dolichospermum,1,,,,48.559398697144395,-0.35807387239636357,7.165052734209076
Doronicum,2,21.944666755287383,0.0,,60.07609568686949,-7.197452356888201,24.50920127045913
Draba,1,,,,49.925830232592524,0.0656968360294985,16.44630459918612
Dracocephalum,1,,,,60.320919577783854,-1.6084702824666066,14.006253643550082
Drosera,3,5.013797817420234,1.31162648723909,,56.99484540326566,-1.0425429656478542,16.61209669332895
Dryopteris,5,7.7770325707901495,3.1306204501858037,21.995197485514215,56.12831022637613,-3.022434833720607,15.380650794715743
Dumontinia,1,,,,61.63062150769777,4.365175745558004,29.85062495659799
Dysphania,2,17.1568342346126,0.0,,56.50071553221578,-12.69042953736998,20.840646631964724
Echinochloa,1,,,,57.00955882159839,-3.7864565385510227,15.824818478755997
Echium,1,,,,56.88725927703284,-6.280461225579835,22.476230962512354
Elaphocordyceps,2,12.938102818040202,0.0,,60.67993809242541,-1.5192197877069433,24.56931783297863
Elatine,1,,,,85.63733206898247,1.2943046315449747,8.599898965377417
Eleocharis,6,8.318397356787706,3.5346445851622654,48.60888419646028,63.881852904691925,1.05585120595469,16.23021910325319
Eleogiton,1,,,,70.56149952131123,-3.402010367718924,16.953515087507498
Elodea,1,,,,47.708921046063395,-1.887547596458853,14.446378715527157
Elsholtzia,1,,,,59.5512950060874,0.3620606848327912,17.285033159032405
Elymus,5,13.496111849929793,6.315974019656328,40.54328006820344,68.72880339760006,-5.059962095113661,17.490249363712095
Empetrum,1,,,,53.03914944461262,2.0202728302654234,17.94036364731317
Encalypta,1,,,,59.305529031106396,-2.0734922557658546,7.1107216618198805
Entoloma,5,12.447703537065092,3.0305890493047394,352.90801374715187,60.64558226548053,-1.455147119453915,18.064533228837185
Epilobium,6,9.595307465687844,3.291576581538034,161.17800490781045,60.283485269104574,-2.569398492575285,17.771729836200844
Epipactis,3,6.755238430360651,2.2575164499806912,,52.15565742496373,-0.7278599421741073,11.083371230768956
Equisetum,7,7.9212356091429585,4.442162907815107,41.67975563939149,62.111934478684425,-0.981750927955953,16.158305612700648
