mask_file,image_file,volume,illustration_order,family,genus,species,mean_L,mean_a,mean_b,std_L,std_a,std_b,median_L,median_a,median_b,color_diversity,color_spread,hue_concentration,red_intensity,yellow_intensity,green_intensity,blue_intensity,purple_intensity,conspicuousness,distinctiveness_global,distinctiveness_family,distinctiveness_genus
KW_T_423_1_0020R.tif_mask.png,KW_T_423_1_0020R.tif.jpg,1,1,Plantaginaceae,Veronica,Veronica chamaedrys,50.89085156271422,-2.8443666488149257,15.566289151512347,22.2181619564323,3.3215395612439096,6.706250332547316,57.86418731881709,-4.414352877751397,14.439586381504542,1.6089400096269213,12.64146099292028,0.01573563613795359,0.0,0.0,0.8286,0.0,0.0,26.92244799346921,3.6213328692944646,2.288663017231442,2.6015116684180257
KW_T_423_1_0022R.tif_mask.png,KW_T_423_1_0022R.tif.jpg,1,2,,Menyanthes,Menyanthes trifoliata,54.207908636175844,0.04457932476925401,17.10350920149205,9.534626321025808,6.414819178133455,4.466682853897304,56.644950642009064,-3.8987657414602386,15.914842187752825,1.6088499444497126,4.098494222872072,0.08116900028463914,0.0,0.0,0.8137000000000001,0.0,0.0,20.99135250400381,3.5808413387744897,,
KW_T_423_1_0024R.tif_mask.png,KW_T_423_1_0024R.tif.jpg,1,3,,Anagallis,Anagallis arvensis subsp. arvensis,64.4576779385935,1.0126610226800827,24.277067116829663,15.012874076158536,11.204114097973184,13.822800369181918,67.18263163383466,-3.323336605400392,17.58032542078346,1.592791998139438,8.136077159580525,0.09624155295022452,0.3593,0.4192,0.2712,0.0,0.0,33.26950115358575,8.04232041259311,,16.98426774252831
KW_T_423_1_0026R.tif_mask.png,KW_T_423_1_0026R.tif.jpg,1,4,Caryophyllaceae,Silene,Silene flos-cuculi,57.880701698981284,4.7717958554735285,15.249597722342962,8.824457812710374,8.265304724575104,4.788002425754986,56.46617431931698,2.0687565130358503,14.296920584046529,1.6083673179204023,4.059701421842183,0.1132816494089538,0.3058,0.0,0.2776,0.0,0.0,21.463208500539846,5.141143165670643,7.5427699146436495,7.281132917982576
KW_T_423_1_0028R.tif_mask.png,KW_T_423_1_0028R.tif.jpg,1,5,,Caltha,Caltha palustris subsp. palustris,63.717653393994375,-5.015032984234375,27.106605682072345,15.537627290355045,2.2932229572399643,15.403595716870969,67.56949711851433,-5.94006988709075,14.359437401901566,1.5968595694949044,7.216052904026132,0.013861813866030803,0.0,0.7374,0.2769,0.0,0.0,34.312284642906675,9.372941263799094,,
KW_T_423_1_0030R.tif_mask.png,KW_T_423_1_0030R.tif.jpg,1,6,,Convallaria,Convallaria majalis,58.840756576775284,2.5848269210201575,15.983514445796233,14.453654730692003,11.053210444555857,2.5981746984581835,60.77801968437393,-1.7944436267682127,15.209984511508923,1.604062746849241,7.0346891335447435,0.12908366771017987,0.3464,0.0,0.534,0.0,0.0,25.530664614548343,1.6792685296052658,,
KW_T_423_1_0032R.tif_mask.png,KW_T_423_1_0032R.tif.jpg,1,7,,Chamaenerion,Chamaenerion angustifolium,57.02206449923177,9.048663198701755,12.25936559869605,12.030818278061775,12.573780122877082,3.933241240315474,61.507164887337304,-0.42636635487081376,12.825224765462924,1.605510484736151,2.3600860827781247,0.21457716299669438,0.3257,0.0,0.2764,0.0,0.0,24.154195759651383,4.1580808685974935,,
KW_T_423_1_0034R.tif_mask.png,KW_T_423_1_0034R.tif.jpg,1,8,,Erica,Erica tetralix,58.30671034898044,6.147288936589546,12.02451868311385,8.779550018893804,10.517955434559862,4.638548654791087,56.77675773576016,-0.8585983678552518,10.689513954582967,1.606094638390166,3.4841066485795187,0.2040609097104663,0.0,0.0,0.2676,0.0,0.0,20.755958492912534,6.177299506984972,,10.76673840737585
KW_T_423_1_0036R.tif_mask.png,KW_T_423_1_0036R.tif.jpg,1,9,,Oxalis,Oxalis acetosella,61.98375320041618,-0.6677016825453949,17.090785303090534,14.77381768324018,6.206136944095594,6.811588462305101,62.91722567925315,-1.7545566648313946,14.12852306856303,1.6088063027655193,6.407017591111072,0.07091310638228432,0.0,0.0,0.572,0.0,0.0,25.74291571737162,4.0583762398201335,,4.229513081333163
KW_T_423_1_0038R.tif_mask.png,KW_T_423_1_0038R.tif.jpg,1,10,,Viola,Viola tricolor,61.48935181431285,-1.4664248921277923,13.187588418049838,11.399813952761697,4.197211249885101,8.182811560532024,61.5782158565367,-1.832917712348032,13.082201322764337,1.608598179720867,5.177754745369898,0.2534268951023573,0.0,0.0,0.5429999999999999,0.0,0.0,20.663895540101713,3.794200018533938,,5.329167586341602
KW_T_423_1_0040R.tif_mask.png,KW_T_423_1_0040R.tif.jpg,1,11,,Hippuris,Hippuris vulgaris,55.657253542641186,-3.093257079603165,16.2281428121236,23.47864711505517,3.3749398064357883,7.551116588006773,61.88134926239256,-2.199100425445287,15.815900021484195,1.6084133502025812,13.905593613253782,0.004359880952456985,0.0,0.0,0.2856,0.0,0.0,28.93968785580527,2.5354741683418696,,
KW_T_423_1_0042R.tif_mask.png,KW_T_423_1_0042R.tif.jpg,1,12,,Hottonia,Hottonia palustris,50.12667569595058,-3.2574274933831404,12.714587228366664,23.324357061061157,2.612924131554294,5.7443323315681925,52.33508046682673,-2.8120949349532793,12.447945469319283,1.609212266325928,13.412230336742757,0.0039015300947000675,0.0,0.0,0.2662,0.0,0.0,25.29046662877837,8.112467646139734,,
