level,family,genus,n_images,centroid_L,centroid_a,centroid_b,mean_distinctiveness_global,std_distinctiveness_global
family,Agaricaceae,,4,64.42593576987468,-1.2535096694688412,14.426127089798843,10.332097116892012,7.641022765034411
family,Amanitaceae,,11,62.09697230515856,-0.03948858489635382,16.633108662367803,8.632766469103466,3.45873124329999
family,Apiaceae,,4,58.39159985702301,-0.8220034136966308,16.238845036762772,7.133808034300259,4.150300106508865
family,Aristolochiaceae,,1,52.758106267302956,-3.5964183625832407,13.371939991147826,7.503244048560376,
family,Asteraceae,,28,59.596983997004706,-1.5811414024681674,15.88284318493071,7.949316119018007,4.2690080076709815
family,Auriscalpiaceae,,1,64.27897538425096,1.21674880224761,25.998119548199732,11.299668246348562,
family,Bankeraceae,,2,58.271880909587416,-1.1202975994275413,21.571790832738884,8.704527966083443,1.1083373393195166
family,Boletaceae,,1,44.3934939772969,-1.9871527541531935,3.9839647470579287,19.382661457418486,
family,Brassicaceae,,11,61.49059590218782,-2.5217576550803016,16.82035632292856,11.034626552043532,7.259363540969631
family,Caprifoliaceae,,4,63.852415851335095,-0.8070115111565789,15.33049867955691,8.782549796116287,4.145042807168101
family,Caryophyllaceae,,20,63.145691983213396,-0.2530795448764878,16.921134577440966,8.921241647782207,5.687713878486431
family,Cladoniaceae,,2,61.1510561264863,-1.0762244312812967,14.854456626107616,5.508755035848406,1.8171619957551932
family,Clitocybaceae,,11,58.942976063628834,-0.2857043853632575,18.660593548562545,9.759311983291795,3.8076657621191003
family,Cortinariaceae,,19,59.85317487613038,-1.0237586089757666,17.093035272165864,7.650027157428361,5.191421712007731
family,Crassulaceae,,7,58.039082205261224,-3.049803601403827,16.299349410784515,6.200368000911994,3.818080113082856
family,Cyperaceae,,58,57.369177774717386,-1.594693440822295,13.629024405259033,8.399406815459631,4.622377611496396
family,Dryopteridaceae,,5,56.12831022637613,-3.022434833720607,15.380650794715743,6.0745337539922835,2.4884230196014294
family,Equisetaceae,,7,62.111934478684425,-0.981750927955953,16.158305612700648,6.143633087667451,3.4859778018537573
family,Fabaceae,,17,59.30876233426295,-3.272482357453338,16.131536719948052,8.204692684150295,6.387814850096451
family,Fontinalaceae,,1,49.815615016847346,-1.0051814595171833,15.849959978469148,9.646673545400994,
family,Gomphidiaceae ,,3,63.49322161132912,-6.565368894458973,18.67484671463707,9.58263779163771,8.070429573096426
family,Grifolaceae,,2,56.75060216889029,-2.9449291195360647,8.259733101912438,8.796581394371351,1.3831284539084419
family,Gymnosporangiaceae,,4,59.63923036257644,-1.566396703949936,9.707694473978217,10.045900275534155,4.588864801294958
family,Helvellaceae,,4,53.074320105466775,-0.7857105552312417,13.698749539909228,8.972472349423388,5.757192205295548
family,Hydnaceae,,2,59.70387950190366,1.4516861565335781,28.12483465888089,15.54094708884557,1.3628065791419846
family,Hydrocharitaceae,,1,63.58866404518267,-7.795823612696843,22.535702890486682,9.738640132862407,
family,Hygrophoraceae,,7,66.74353658032327,-6.482852202315034,19.91238879647452,13.12884842998312,2.5273562423841023
family,Hymenochaetaceae,,1,52.237242525187845,-0.5468902148813881,7.344904659079948,11.470782800419663,
family,Inocybaceae,,5,61.01082529795728,-3.265111485981995,17.11860861099458,9.304626133497333,4.245805168928498
family,Isoetaceae,,4,57.30393429483525,-5.444944672813325,17.609287502433368,8.224501257203364,2.9515299815169103
family,Lamiaceae,,3,65.8728999864993,-0.6104711790379896,17.767346171140694,8.97375214650073,5.811675908100218
family,Lycoperdaceae,,3,62.38084770631744,-2.9141195452902,17.444097111120065,11.574478154768215,7.648767716450901
family,Lycopodiaceae,,1,63.274229621366025,-1.6895518021881255,15.960955484740008,3.8494821524291902,
family,Melanthiaceae,,1,53.64734986900133,-2.505894897095626,14.265487116377663,6.15944280029256,
family,Onagraceae,,1,64.84173638093961,-1.519762877362812,14.543037090770191,5.661299627297725,
family,Orchidaceae,,1,66.63313690315906,-1.2747402859695578,17.36974806345951,7.304406919144713,
family,Orobanchaceae,,10,64.33359685648173,-0.8690936438135709,19.187618624405424,10.89367503674513,3.844005848246607
family,Papaveraceae,,2,52.018737794321595,-2.3435831943157024,12.314608128362917,8.745541563574095,5.08919342800956
family,Parmeliaceae,,1,67.21865912161005,-3.8967682430335087,14.273001512529483,8.325829180334948,
family,Plantaginaceae,,24,57.491707847419185,-3.165257076414343,16.320808624864483,7.52275610875576,4.3180443687475245
family,Poaceae,,21,61.75599712998495,-2.7868860215300044,14.500641333676505,10.86423278973515,7.109091328942074
family,Polyporaceae,,5,56.10398270289782,0.4257801777231857,14.809740868066644,9.728971148783334,2.6107806250906846
family,Polytrichaceae,,3,62.48268270547378,-2.2452147541311036,15.245433196524314,4.04376575669723,2.2351702969016585
family,Porellaceae,,1,63.39838595343029,-0.6724751384941462,15.923555102942846,4.099174350449607,
family,Postiaceae,,3,62.279456911002754,-0.9392125271308572,19.80393402508808,9.89921123222926,7.969445700666144
family,Pottiaceae,,4,59.067827539104655,-1.5745196927437388,9.59181586711837,8.622216507925156,5.392850624009444
family,Pucciniaceae,,4,63.79485530877428,-2.096985444652513,13.674301052182617,6.566523726616541,4.075559566465434
family,Ranunculaceae,,5,62.62244904697333,-1.7900176878099359,15.800464531784424,7.592037800436186,5.046091035044791
family,Rosaceae,,62,60.50122772483634,-0.8733846759138582,19.44738738103736,9.879046229527235,5.619833153531451
family,Russulaceae,,31,60.22100527368272,-1.7201957559481122,16.158391046579663,9.82460641073723,5.2233951604468745
family,Salicaceae,,22,56.56700231355873,-0.0161794367837632,16.056296540444322,8.974294450987754,4.704938002903569
family,Sapindaceae,,2,65.1329970986528,-0.8727925076519091,12.888269050841812,9.271438226134059,1.5320981166606986
family,Sclerodermataceae,,1,68.22463945914359,-1.9707980374398173,15.785673195967139,8.8071810746613,
family,Serpulaceae,,1,69.73274809653573,-1.944996427927547,15.614588792134182,10.320754720233657,
family,Squamanitaceae,,2,54.29988279343741,-6.463300730687475,17.577060367108448,7.273504451553741,3.3285530049053342
family,Tricholomataceae,,12,62.803081529417334,-1.7421233060911532,16.13694346774303,9.082090965379324,4.013877562938389
