family,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Agaricaceae,4,7.676143818916842,3.8203571555775295,8.05753681033351,50.30017472493152,-0.7343363175709994,13.984677879018692
Amanitaceae,11,9.612949026859145,4.582636047951662,323.1290489599746,52.23399974838672,-2.332685564471193,16.439604158534227
Apiaceae,4,10.74593226454155,4.821055216622666,6.242442652749051,56.653220179858295,-2.496765069449208,11.56624261481295
Aristolochiaceae,1,,,,52.474252369988676,-3.211594263272055,15.285499678358239
Asteraceae,28,11.897721956537485,6.516897555228268,1277.4032058333014,49.947805693297745,-2.022830738130754,14.346067871124824
Auriscalpiaceae,1,,,,52.88583243169023,0.07644563955935824,20.668681974423308
Bankeraceae,2,11.44554578467885,0.0,,45.38401370172685,-1.2121920488264855,16.17649552552149
Boletaceae,1,,,,42.72421649097964,-0.9718294443903513,5.944437797269036
Brassicaceae,11,8.79449595943423,4.351434413741654,183.02258717340143,45.250023059677844,-1.9940562807136963,15.020821475188539
Caprifoliaceae,4,15.633982809829774,4.647322512487296,253.06564873582866,46.52473309023337,-1.5840207942705575,15.115555481201987
Caryophyllaceae,20,9.180269993148814,4.753222892849839,798.2492297886334,45.037303616030435,-0.27109062171312703,13.027818114126749
Cladoniaceae,2,11.746799765291488,0.0,,47.46467317833567,-3.7968544730029374,8.552878645850326
Clitocybaceae,11,10.781145675433685,4.260912163279606,604.4958034238066,54.216978202857945,-1.1184186843883337,15.216202149415924
Cortinariaceae,19,9.250294116165264,4.573143824118386,362.6687343835878,48.51677078625703,-0.5829869897313877,13.694841578571193
Crassulaceae,7,6.126628340562756,3.0834280564084917,39.34131765617835,44.11760872979505,-1.061817909130236,14.45140911246886
Cyperaceae,58,10.995839650430922,6.215701363801483,1988.580710512511,44.95974528341085,-1.5115438234373502,11.771115974271785
Dryopteridaceae,5,11.207882064074415,5.13915395396003,67.34239763953296,47.7912059287558,-4.429094349789775,13.819746331462735
Equisetaceae,7,11.6081076945686,7.317466998496537,85.0812757166382,43.8178212222503,-0.5218326977877996,14.323138064746122
Fabaceae,17,11.193959056197146,5.816090597043422,823.9712500806543,53.54194011392744,-3.881182353960566,15.309145331026986
Fontinalaceae,1,,,,46.40406890788127,-3.3336708091091793,9.012088416340248
Gomphidiaceae ,3,11.046762367650024,2.8817227468255244,,52.46410088874774,-3.631641204325242,12.26825610419544
Grifolaceae,2,5.035377686153973,0.0,,45.169044050793055,-2.1016361070931575,7.790628238732856
